inc 20210909T184816Z - 20210909T190544Z # "T 5874275"
inc 20210909T192331Z - 20210909T195342Z # "C 5886103"
inc 20210909T202243Z - 20210909T204335Z # "T 5880681"
inc 20210909T205003Z - 20210909T210500Z # "P acks"
inc 20210909T210500Z - 20210909T212500Z # "assist coworkers"
inc 20210909T213856Z - 20210909T222257Z # "T 5880681"
inc 20210910T132558Z - 20210910T135358Z # "T 5886204"
inc 20210910T140146Z - 20210910T143037Z # "T 5887466"
inc 20210910T145235Z - 20210910T151251Z # "T 5886103"
inc 20210910T151251Z - 20210910T152222Z # "CH 5887642"
inc 20210910T180500Z - 20210910T183026Z # "T 5870676"
inc 20210910T183458Z - 20210910T185238Z # "T 5887466"
inc 20210910T185355Z - 20210910T191000Z # "R 5886103"
inc 20210910T201500Z - 20210910T214934Z # "P OSSEC"
inc 20210913T125848Z - 20210913T132013Z # LAPOs
inc 20210913T132013Z - 20210913T133949Z # "CH 5891621"
inc 20210913T134227Z - 20210913T143139Z # "CH 5891689"
inc 20210913T143839Z - 20210913T145500Z # "T 5889552"
inc 20210913T150000Z - 20210913T150500Z # "CH 5891874"
inc 20210913T151033Z - 20210913T152044Z # LAPOs
inc 20210913T152044Z - 20210913T153227Z # "CH 5891914"
inc 20210913T162238Z - 20210913T162500Z # "T 5865075"
inc 20210913T162500Z - 20210913T163000Z # "assist coworkers"
inc 20210913T163000Z - 20210913T163522Z # "T 5865075"
inc 20210913T163522Z - 20210913T164414Z # "CH 5892141"
inc 20210913T164641Z - 20210913T170733Z # "T 5865075"
inc 20210913T181812Z - 20210913T183343Z # "T 5892141"
inc 20210913T183425Z - 20210913T185001Z # "T 5889552"
inc 20210913T190139Z - 20210913T191500Z # "T 5886103"
inc 20210913T191500Z - 20210913T193000Z # break
inc 20210913T193000Z - 20210913T195000Z # "assist coworkers"
inc 20210913T195348Z - 20210913T200503Z # "T 5886103"
inc 20210913T200503Z - 20210913T205124Z # "CH 5892691"
inc 20210913T205124Z - 20210913T205742Z # "CH 5892768"
inc 20210913T205742Z - 20210913T211606Z # "CH 5892832"
inc 20210913T213036Z - 20210913T222851Z # "T 5889552"
